Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
441-26-5291,C,Naypyitaw,Normal,Female,Home and lifestyle,91.48,1,4.574,96.054,02/24/2019,14:02,Ewallet,91.48,4.761905,4.574,4.6
954-57-3426,A,Yangon,Normal,Female,Food and beverages,10.87,2,1.087,22.827,03/30/2019,12:34,Ewallet,21.74,4.761905,1.087,9.7
205-55-7658,B,Mandalay,Member,Male,Home and lifestyle,42.82,1,2.141,44.961,01/27/2019,20:15,Credit card,42.82,4.761905,2.141,9.4
901-62-5065,C,Naypyitaw,Member,Male,Electronic accessories,97.86,3,14.679,308.259,01/04/2019,12:47,Cash,293.58,4.761905,14.679,9.3
328-13-4164,B,Mandalay,Member,Male,Sports and travel,88.5,8,35.4,743.4,02/28/2019,15:19,Ewallet,708.0,4.761905,35.4,5.3
439-13-2889,B,Mandalay,Normal,Female,Health and beauty,97.02,5,24.255,509.355,03/07/2019,16:43,Credit card,485.1,4.761905,24.255,6.1
218-59-4114,B,Mandalay,Member,Female,Health and beauty,19.76,7,6.916,145.236,02/10/2019,16:38,Credit card,138.32,4.761905,6.916,6.1
171-95-6409,B,Mandalay,Member,Female,Health and beauty,56.79,9,25.5555,536.6655,03/27/2019,13:23,Cash,511.11,4.761905,25.5555,8.1
402-80-3085,C,Naypyitaw,Normal,Male,Fashion accessories,91.0,9,40.95,859.95,02/22/2019,15:25,Credit card,819.0,4.761905,40.95,5.9
411-46-4443,A,Yangon,Normal,Female,Fashion accessories,77.33,3,11.5995,243.5895,02/08/2019,16:35,Ewallet,231.99,4.761905,11.5995,7.7
627-94-6491,B,Mandalay,Normal,Female,Sports and travel,49.79,4,9.958,209.118,01/22/2019,20:05,Cash,199.16,4.761905,9.958,7.1
566-63-4185,A,Yangon,Member,Female,Electronic accessories,82.59,3,12.3885,260.1585,02/01/2019,17:39,Ewallet,247.77,4.761905,12.3885,4.1
923-99-9486,C,Naypyitaw,Normal,Female,Sports and travel,31.96,1,1.598,33.558,01/14/2019,16:14,Ewallet,31.96,4.761905,1.598,9.4
727-74-7991,B,Mandalay,Member,Male,Health and beauty,51.08,8,20.432,429.072,03/13/2019,19:20,Cash,408.64,4.761905,20.432,8.0
596-90-4919,C,Naypyitaw,Normal,Male,Fashion accessories,87.53,8,35.012,735.252,02/01/2019,20:17,Credit card,700.24,4.761905,35.012,5.6
336-59-3503,B,Mandalay,Normal,Male,Fashion accessories,35.72,5,8.93,187.53,03/11/2019,11:08,Ewallet,178.6,4.761905,8.93,6.0
498-84-1320,C,Naypyitaw,Member,Male,Sports and travel,46.68,9,21.006,441.126,01/08/2019,13:53,Cash,420.12,4.761905,21.006,6.8
659-87-4613,C,Naypyitaw,Normal,Female,Health and beauty,94.85,5,23.7125,497.9625,02/23/2019,18:47,Credit card,474.25,4.761905,23.7125,8.5
960-69-3091,B,Mandalay,Member,Female,Sports and travel,53.71,7,18.7985,394.7685,03/28/2019,16:46,Ewallet,375.97,4.761905,18.7985,6.0
286-16-5262,C,Naypyitaw,Member,Female,Food and beverages,60.8,1,3.04,63.84,02/24/2019,12:55,Cash,60.8,4.761905,3.04,4.5
581-12-9837,B,Mandalay,Normal,Male,Sports and travel,39.42,7,13.797,289.737,02/23/2019,14:53,Ewallet,275.94,4.761905,13.797,5.7
736-29-4908,A,Yangon,Normal,Male,Fashion accessories,16.18,1,0.809,16.989,02/01/2019,13:53,Ewallet,16.18,4.761905,0.809,8.5
865-24-3683,A,Yangon,Normal,Male,Food and beverages,95.3,8,38.12,800.52,02/17/2019,12:38,Credit card,762.4,4.761905,38.12,8.2
950-90-4978,B,Mandalay,Member,Male,Home and lifestyle,61.82,7,21.637,454.377,01/26/2019,11:37,Credit card,432.74,4.761905,21.637,6.4
763-53-1207,A,Yangon,Normal,Male,Food and beverages,80.44,6,24.132,506.772,03/26/2019,15:04,Credit card,482.64,4.761905,24.132,7.2
766-44-9817,B,Mandalay,Normal,Male,Sports and travel,96.47,8,38.588,810.348,02/25/2019,12:46,Credit card,771.76,4.761905,38.588,8.2
349-69-7209,B,Mandalay,Normal,Female,Fashion accessories,63.32,6,18.996,398.916,01/12/2019,14:56,Cash,379.92,4.761905,18.996,9.1
818-45-1166,B,Mandalay,Member,Female,Home and lifestyle,26.37,4,5.274,110.754,02/03/2019,15:17,Credit card,105.48,4.761905,5.274,6.1
602-67-1282,C,Naypyitaw,Member,Male,Electronic accessories,74.81,8,29.924,628.404,01/31/2019,17:41,Credit card,598.48,4.761905,29.924,7.3
452-64-6419,A,Yangon,Normal,Male,Sports and travel,72.26,5,18.065,379.365,02/17/2019,17:35,Credit card,361.3,4.761905,18.065,8.0
880-98-4033,B,Mandalay,Normal,Female,Home and lifestyle,32.63,2,3.263,68.523,02/10/2019,11:47,Credit card,65.26,4.761905,3.263,8.3
469-32-5952,A,Yangon,Member,Female,Home and lifestyle,75.21,9,33.8445,710.7345,01/13/2019,13:18,Ewallet,676.89,4.761905,33.8445,7.6
205-11-5658,A,Yangon,Member,Female,Health and beauty,97.69,9,43.9605,923.1705,01/17/2019,20:55,Cash,879.21,4.761905,43.9605,5.8
510-72-2213,B,Mandalay,Normal,Female,Home and lifestyle,26.59,1,1.3295,27.9195,03/03/2019,11:52,Ewallet,26.59,4.761905,1.3295,5.5
720-86-4697,C,Naypyitaw,Member,Male,Electronic accessories,83.0,5,20.75,435.75,02/01/2019,11:35,Cash,415.0,4.761905,20.75,4.5
724-22-4404,C,Naypyitaw,Normal,Female,Sports and travel,36.76,10,18.38,385.98,02/09/2019,19:39,Ewallet,367.6,4.761905,18.38,9.9
561-98-8699,C,Naypyitaw,Member,Female,Fashion accessories,17.31,4,3.462,72.702,01/10/2019,12:00,Cash,69.24,4.761905,3.462,5.0
703-94-4241,B,Mandalay,Member,Male,Home and lifestyle,73.63,8,29.452,618.492,01/30/2019,14:50,Credit card,589.04,4.761905,29.452,4.4
709-82-5728,B,Mandalay,Member,Male,Fashion accessories,23.41,5,5.8525,122.9025,01/10/2019,10:10,Cash,117.05,4.761905,5.8525,9.0
182-86-1653,B,Mandalay,Member,Female,Fashion accessories,37.37,7,13.0795,274.6695,03/06/2019,18:31,Cash,261.59,4.761905,13.0795,9.7
690-15-3870,B,Mandalay,Normal,Female,Health and beauty,18.22,10,9.11,191.31,01/03/2019,20:52,Cash,182.2,4.761905,9.11,7.5
518-52-6260,B,Mandalay,Normal,Female,Electronic accessories,99.73,7,34.9055,733.0155,03/04/2019,11:30,Cash,698.11,4.761905,34.9055,7.8
190-50-5135,C,Naypyitaw,Member,Male,Home and lifestyle,47.05,8,18.82,395.22,02/21/2019,18:02,Cash,376.4,4.761905,18.82,5.7
292-76-6927,B,Mandalay,Member,Female,Food and beverages,84.24,1,4.212,88.452,03/11/2019,17:26,Ewallet,84.24,4.761905,4.212,7.9
596-25-1472,C,Naypyitaw,Normal,Female,Health and beauty,28.32,9,12.744,267.624,02/06/2019,17:56,Credit card,254.88,4.761905,12.744,4.8
763-29-9165,C,Naypyitaw,Member,Male,Home and lifestyle,59.58,9,26.811,563.031,01/29/2019,11:29,Ewallet,536.22,4.761905,26.811,6.4
713-75-3236,C,Naypyitaw,Normal,Female,Sports and travel,85.13,8,34.052,715.092,03/12/2019,12:24,Ewallet,681.04,4.761905,34.052,5.5
957-85-9022,A,Yangon,Normal,Female,Home and lifestyle,94.08,9,42.336,889.056,01/01/2019,14:46,Cash,846.72,4.761905,42.336,5.6
685-59-4826,A,Yangon,Normal,Female,Home and lifestyle,39.92,9,17.964,377.244,02/11/2019,13:44,Ewallet,359.28,4.761905,17.964,6.3
137-26-9229,B,Mandalay,Member,Female,Fashion accessories,52.57,7,18.3995,386.3895,03/26/2019,20:09,Cash,367.99,4.761905,18.3995,6.3
258-19-8692,C,Naypyitaw,Normal,Male,Sports and travel,18.97,8,7.588,159.348,01/19/2019,16:55,Credit card,151.76,4.761905,7.588,4.1
835-72-9864,B,Mandalay,Normal,Female,Fashion accessories,17.23,6,5.169,108.549,03/10/2019,16:20,Credit card,103.38,4.761905,5.169,9.1
820-22-8269,A,Yangon,Member,Male,Fashion accessories,71.6,5,17.9,375.9,01/12/2019,16:06,Credit card,358.0,4.761905,17.9,10.0
643-62-3950,A,Yangon,Normal,Male,Health and beauty,39.19,1,1.9595,41.1495,02/17/2019,16:09,Ewallet,39.19,4.761905,1.9595,5.8
572-91-5161,A,Yangon,Member,Male,Food and beverages,88.38,10,44.19,927.99,03/05/2019,19:09,Ewallet,883.8,4.761905,44.19,8.1
754-64-5097,B,Mandalay,Normal,Male,Sports and travel,91.11,9,40.9995,860.9895,02/26/2019,15:37,Cash,819.99,4.761905,40.9995,4.9
816-47-1359,B,Mandalay,Normal,Male,Sports and travel,86.8,2,8.68,182.28,03/15/2019,15:36,Cash,173.6,4.761905,8.68,5.4
721-55-4588,C,Naypyitaw,Normal,Female,Health and beauty,60.93,1,3.0465,63.9765,03/05/2019,14:49,Ewallet,60.93,4.761905,3.0465,9.5
907-66-1546,C,Naypyitaw,Member,Female,Fashion accessories,78.0,3,11.7,245.7,03/22/2019,20:02,Cash,234.0,4.761905,11.7,7.8
997-56-9697,C,Naypyitaw,Normal,Male,Health and beauty,91.87,6,27.561,578.781,01/23/2019,13:08,Credit card,551.22,4.761905,27.561,8.5
579-19-3306,C,Naypyitaw,Normal,Male,Home and lifestyle,92.26,8,36.904,774.984,02/07/2019,15:51,Ewallet,738.08,4.761905,36.904,9.8
866-96-5295,A,Yangon,Normal,Female,Health and beauty,81.16,1,4.058,85.218,01/16/2019,17:23,Credit card,81.16,4.761905,4.058,5.6
326-92-2035,C,Naypyitaw,Normal,Female,Health and beauty,70.74,8,28.296,594.216,03/13/2019,15:58,Credit card,565.92,4.761905,28.296,4.2
199-40-9807,C,Naypyitaw,Normal,Female,Fashion accessories,46.75,3,7.0125,147.2625,01/05/2019,14:31,Ewallet,140.25,4.761905,7.0125,4.3
953-72-7686,A,Yangon,Normal,Female,Home and lifestyle,70.34,9,31.653,664.713,01/20/2019,16:41,Ewallet,633.06,4.761905,31.653,6.5
760-55-1992,B,Mandalay,Member,Female,Electronic accessories,49.9,4,9.98,209.58,01/13/2019,20:23,Credit card,199.6,4.761905,9.98,9.1
121-16-6464,B,Mandalay,Normal,Male,Health and beauty,95.41,8,38.164,801.444,01/28/2019,20:40,Credit card,763.28,4.761905,38.164,4.6
907-86-1046,A,Yangon,Member,Male,Health and beauty,84.68,9,38.106,800.226,01/28/2019,13:21,Ewallet,762.12,4.761905,38.106,5.2
908-40-6304,B,Mandalay,Member,Male,Food and beverages,32.56,3,4.884,102.564,01/04/2019,12:00,Cash,97.68,4.761905,4.884,4.7
625-85-2786,A,Yangon,Member,Female,Health and beauty,21.41,7,7.4935,157.3635,01/09/2019,17:28,Cash,149.87,4.761905,7.4935,7.2
967-61-7984,B,Mandalay,Member,Male,Fashion accessories,80.49,9,36.2205,760.6305,03/24/2019,10:03,Cash,724.41,4.761905,36.2205,5.8
229-45-9984,C,Naypyitaw,Member,Female,Fashion accessories,91.87,2,9.187,192.927,02/11/2019,19:09,Ewallet,183.74,4.761905,9.187,9.4
217-93-4522,C,Naypyitaw,Normal,Female,Food and beverages,57.75,8,23.1,485.1,02/25/2019,11:50,Credit card,462.0,4.761905,23.1,7.0
781-42-7132,B,Mandalay,Normal,Male,Sports and travel,40.5,8,16.2,340.2,01/13/2019,15:27,Cash,324.0,4.761905,16.2,6.4
700-81-6400,A,Yangon,Normal,Male,Health and beauty,84.86,2,8.486,178.206,02/17/2019,12:35,Ewallet,169.72,4.761905,8.486,6.6
460-23-9313,C,Naypyitaw,Member,Female,Home and lifestyle,88.62,7,31.017,651.357,01/07/2019,14:38,Cash,620.34,4.761905,31.017,9.2
687-38-8030,A,Yangon,Member,Female,Electronic accessories,86.25,6,25.875,543.375,02/17/2019,11:48,Cash,517.5,4.761905,25.875,9.1
679-94-7566,C,Naypyitaw,Member,Female,Health and beauty,26.24,5,6.56,137.76,02/14/2019,10:11,Ewallet,131.2,4.761905,6.56,9.5
419-51-2391,A,Yangon,Member,Male,Health and beauty,77.15,4,15.43,324.03,02/28/2019,15:10,Cash,308.6,4.761905,15.43,6.3
552-63-5475,A,Yangon,Member,Male,Food and beverages,14.48,2,1.448,30.408,03/26/2019,16:31,Credit card,28.96,4.761905,1.448,5.6
504-86-1897,A,Yangon,Member,Female,Sports and travel,19.98,10,9.99,209.79,03/27/2019,14:02,Ewallet,199.8,4.761905,9.99,6.9
540-32-3116,A,Yangon,Member,Female,Electronic accessories,79.06,5,19.765,415.065,01/16/2019,10:31,Credit card,395.3,4.761905,19.765,5.7
689-64-7626,B,Mandalay,Member,Female,Health and beauty,45.74,1,2.287,48.027,02/28/2019,11:55,Cash,45.74,4.761905,2.287,6.6
470-21-8155,C,Naypyitaw,Normal,Female,Health and beauty,46.45,6,13.935,292.635,03/21/2019,17:53,Credit card,278.7,4.761905,13.935,5.0
897-31-2251,A,Yangon,Member,Female,Food and beverages,46.04,2,4.604,96.684,02/09/2019,15:14,Cash,92.08,4.761905,4.604,6.4
716-29-2234,C,Naypyitaw,Member,Male,Home and lifestyle,41.6,3,6.24,131.04,01/19/2019,14:12,Ewallet,124.8,4.761905,6.24,5.4
430-90-6179,A,Yangon,Normal,Female,Food and beverages,78.39,8,31.356,658.476,03/14/2019,20:40,Credit card,627.12,4.761905,31.356,8.1
175-49-8565,A,Yangon,Normal,Male,Sports and travel,49.8,5,12.45,261.45,03/17/2019,10:22,Credit card,249.0,4.761905,12.45,8.8
493-69-1672,B,Mandalay,Member,Male,Home and lifestyle,84.85,2,8.485,178.185,01/12/2019,19:38,Credit card,169.7,4.761905,8.485,7.9
831-20-9266,B,Mandalay,Member,Female,Food and beverages,52.81,3,7.9215,166.3515,02/27/2019,11:51,Cash,158.43,4.761905,7.9215,9.7
389-59-7697,C,Naypyitaw,Member,Male,Electronic accessories,73.69,8,29.476,618.996,03/20/2019,12:23,Cash,589.52,4.761905,29.476,7.1
717-29-6461,B,Mandalay,Member,Female,Health and beauty,39.67,9,17.8515,374.8815,02/06/2019,14:46,Credit card,357.03,4.761905,17.8515,8.1
758-52-3093,A,Yangon,Member,Female,Home and lifestyle,97.09,7,33.9815,713.6115,01/11/2019,14:35,Cash,679.63,4.761905,33.9815,4.8
296-38-3253,C,Naypyitaw,Member,Female,Food and beverages,42.56,6,12.768,268.128,01/28/2019,15:49,Cash,255.36,4.761905,12.768,5.9
997-89-3147,A,Yangon,Member,Female,Health and beauty,55.69,9,25.0605,526.2705,03/09/2019,10:42,Cash,501.21,4.761905,25.0605,9.0
473-96-4891,C,Naypyitaw,Normal,Male,Electronic accessories,26.28,10,13.14,275.94,01/22/2019,17:02,Cash,262.8,4.761905,13.14,8.9
684-66-8564,B,Mandalay,Normal,Female,Electronic accessories,58.06,5,14.515,304.815,03/02/2019,13:23,Credit card,290.3,4.761905,14.515,9.8
995-57-2680,B,Mandalay,Normal,Female,Electronic accessories,83.52,10,41.76,876.96,02/02/2019,10:41,Cash,835.2,4.761905,41.76,4.8
193-38-8391,C,Naypyitaw,Member,Female,Health and beauty,78.68,5,19.67,413.07,03/07/2019,12:53,Cash,393.4,4.761905,19.67,6.7
426-22-6493,B,Mandalay,Member,Female,Health and beauty,45.68,6,13.704,287.784,01/11/2019,15:14,Ewallet,274.08,4.761905,13.704,5.4
105-20-1311,A,Yangon,Member,Male,Home and lifestyle,92.57,8,37.028,777.588,01/18/2019,17:28,Credit card,740.56,4.761905,37.028,8.2
224-16-4906,B,Mandalay,Member,Male,Food and beverages,94.62,10,47.31,993.51,01/15/2019,14:15,Cash,946.2,4.761905,47.31,7.2
347-28-5772,B,Mandalay,Normal,Male,Health and beauty,85.3,8,34.12,716.52,01/03/2019,20:32,Credit card,682.4,4.761905,34.12,7.6
638-79-9312,B,Mandalay,Member,Female,Electronic accessories,61.36,3,9.204,193.284,01/11/2019,18:23,Ewallet,184.08,4.761905,9.204,8.0
453-40-2698,C,Naypyitaw,Member,Female,Sports and travel,13.92,7,4.872,102.312,02/02/2019,10:22,Ewallet,97.44,4.761905,4.872,9.9
590-90-3986,C,Naypyitaw,Normal,Male,Health and beauty,41.71,6,12.513,262.773,01/23/2019,20:29,Credit card,250.26,4.761905,12.513,8.9
627-60-9897,A,Yangon,Member,Female,Health and beauty,36.41,1,1.8205,38.2305,01/06/2019,15:59,Cash,36.41,4.761905,1.8205,8.7
227-57-8159,B,Mandalay,Normal,Male,Fashion accessories,27.2,6,8.16,171.36,01/07/2019,20:21,Cash,163.2,4.761905,8.16,9.2
844-64-2293,B,Mandalay,Normal,Female,Home and lifestyle,97.64,8,39.056,820.176,02/17/2019,18:17,Ewallet,781.12,4.761905,39.056,8.2
536-31-8272,B,Mandalay,Member,Female,Home and lifestyle,19.23,6,5.769,121.149,02/09/2019,17:38,Credit card,115.38,4.761905,5.769,8.0
176-95-7655,B,Mandalay,Normal,Male,Fashion accessories,88.3,6,26.49,556.29,02/25/2019,14:40,Ewallet,529.8,4.761905,26.49,7.7
475-56-7272,B,Mandalay,Member,Male,Electronic accessories,86.38,8,34.552,725.592,01/09/2019,13:49,Credit card,691.04,4.761905,34.552,4.2
475-60-6150,C,Naypyitaw,Member,Male,Fashion accessories,50.49,6,15.147,318.087,01/10/2019,19:08,Credit card,302.94,4.761905,15.147,6.2
893-43-8311,C,Naypyitaw,Normal,Male,Health and beauty,12.33,3,1.8495,38.8395,02/19/2019,18:07,Cash,36.99,4.761905,1.8495,7.0
965-50-6692,A,Yangon,Normal,Female,Electronic accessories,21.04,2,2.104,44.184,02/26/2019,11:51,Credit card,42.08,4.761905,2.104,6.7
911-27-4878,C,Naypyitaw,Member,Female,Home and lifestyle,86.62,3,12.993,272.853,03/07/2019,13:07,Ewallet,259.86,4.761905,12.993,8.8
167-49-7523,B,Mandalay,Member,Female,Food and beverages,61.5,8,24.6,516.6,03/12/2019,12:39,Ewallet,492.0,4.761905,24.6,8.8
577-97-9476,C,Naypyitaw,Normal,Female,Sports and travel,84.1,2,8.41,176.61,02/10/2019,20:04,Cash,168.2,4.761905,8.41,4.8
265-51-4694,B,Mandalay,Member,Male,Electronic accessories,48.94,1,2.447,51.387,03/08/2019,12:19,Ewallet,48.94,4.761905,2.447,9.0
195-74-3762,B,Mandalay,Normal,Male,Home and lifestyle,27.67,9,12.4515,261.4815,03/22/2019,14:39,Credit card,249.03,4.761905,12.4515,5.6
183-15-5336,C,Naypyitaw,Member,Male,Fashion accessories,66.2,10,33.1,695.1,03/14/2019,10:52,Ewallet,662.0,4.761905,33.1,6.0
594-41-7653,C,Naypyitaw,Member,Female,Food and beverages,67.51,8,27.004,567.084,03/11/2019,14:41,Cash,540.08,4.761905,27.004,9.3
247-50-6231,B,Mandalay,Normal,Male,Fashion accessories,15.39,8,6.156,129.276,03/01/2019,13:21,Credit card,123.12,4.761905,6.156,6.5
373-67-5061,C,Naypyitaw,Normal,Female,Electronic accessories,78.46,9,35.307,741.447,02/10/2019,13:29,Ewallet,706.14,4.761905,35.307,7.4
838-50-4110,A,Yangon,Member,Male,Home and lifestyle,95.08,10,47.54,998.34,01/21/2019,15:59,Credit card,950.8,4.761905,47.54,6.5
320-84-6781,A,Yangon,Normal,Female,Sports and travel,89.12,8,35.648,748.608,02/20/2019,18:29,Ewallet,712.96,4.761905,35.648,4.1
370-56-7606,A,Yangon,Member,Female,Sports and travel,63.78,8,25.512,535.752,01/02/2019,11:27,Ewallet,510.24,4.761905,25.512,5.7
561-80-5582,B,Mandalay,Member,Female,Health and beauty,61.33,4,12.266,257.586,02/06/2019,11:24,Credit card,245.32,4.761905,12.266,6.2
621-61-9193,C,Naypyitaw,Member,Male,Health and beauty,45.45,6,13.635,286.335,02/16/2019,12:12,Credit card,272.7,4.761905,13.635,7.3
243-51-6218,A,Yangon,Member,Male,Electronic accessories,74.22,8,29.688,623.448,01/20/2019,19:57,Credit card,593.76,4.761905,29.688,7.1
477-52-2795,A,Yangon,Normal,Female,Food and beverages,40.27,9,18.1215,380.5515,03/14/2019,14:30,Ewallet,362.43,4.761905,18.1215,7.2
636-90-7229,B,Mandalay,Normal,Male,Food and beverages,52.71,10,26.355,553.455,01/07/2019,19:30,Ewallet,527.1,4.761905,26.355,7.5
522-98-4340,A,Yangon,Member,Male,Food and beverages,95.34,2,9.534,200.214,02/26/2019,15:26,Ewallet,190.68,4.761905,9.534,5.1
421-32-8531,B,Mandalay,Normal,Male,Fashion accessories,22.43,4,4.486,94.206,03/26/2019,17:33,Cash,89.72,4.761905,4.486,7.4
405-38-5876,C,Naypyitaw,Normal,Female,Fashion accessories,79.48,5,19.87,417.27,01/25/2019,13:17,Credit card,397.4,4.761905,19.87,7.7
792-79-7220,B,Mandalay,Member,Female,Home and lifestyle,53.18,9,23.931,502.551,02/05/2019,14:07,Credit card,478.62,4.761905,23.931,9.6
590-37-4310,B,Mandalay,Normal,Male,Home and lifestyle,13.79,2,1.379,28.959,02/26/2019,20:16,Credit card,27.58,4.761905,1.379,6.1
331-91-4814,C,Naypyitaw,Normal,Female,Electronic accessories,19.83,10,9.915,208.215,01/07/2019,20:57,Credit card,198.3,4.761905,9.915,5.4
516-93-8793,A,Yangon,Member,Female,Home and lifestyle,74.56,2,7.456,156.576,01/18/2019,10:35,Ewallet,149.12,4.761905,7.456,8.1
647-14-3868,B,Mandalay,Member,Female,Home and lifestyle,35.69,1,1.7845,37.4745,01/12/2019,20:36,Ewallet,35.69,4.761905,1.7845,9.4
681-87-2758,B,Mandalay,Member,Male,Sports and travel,80.92,3,12.138,254.898,02/07/2019,10:00,Cash,242.76,4.761905,12.138,9.6
297-24-6417,B,Mandalay,Normal,Female,Fashion accessories,58.9,8,23.56,494.76,01/18/2019,18:29,Cash,471.2,4.761905,23.56,9.3
279-88-7643,A,Yangon,Normal,Female,Fashion accessories,26.76,6,8.028,168.588,03/14/2019,20:48,Ewallet,160.56,4.761905,8.028,8.7
106-43-7284,B,Mandalay,Normal,Male,Sports and travel,70.23,3,10.5345,221.2245,03/03/2019,15:59,Ewallet,210.69,4.761905,10.5345,9.9
163-95-2936,A,Yangon,Normal,Female,Home and lifestyle,37.18,10,18.59,390.39,03/25/2019,15:44,Ewallet,371.8,4.761905,18.59,4.1
326-38-3188,B,Mandalay,Normal,Male,Sports and travel,71.75,5,17.9375,376.6875,03/23/2019,14:23,Credit card,358.75,4.761905,17.9375,8.1
921-95-4578,B,Mandalay,Member,Female,Fashion accessories,99.0,6,29.7,623.7,03/12/2019,17:48,Credit card,594.0,4.761905,29.7,6.5
617-35-9792,A,Yangon,Member,Female,Food and beverages,73.34,2,7.334,154.014,01/15/2019,10:53,Credit card,146.68,4.761905,7.334,9.5
556-17-8429,A,Yangon,Member,Female,Food and beverages,49.77,4,9.954,209.034,03/04/2019,11:57,Credit card,199.08,4.761905,9.954,8.3
936-10-4570,A,Yangon,Normal,Female,Food and beverages,15.2,8,6.08,127.68,02/09/2019,10:25,Cash,121.6,4.761905,6.08,8.0
132-46-7698,C,Naypyitaw,Member,Male,Sports and travel,41.01,2,4.101,86.121,01/08/2019,11:59,Cash,82.02,4.761905,4.101,7.2
777-79-3178,A,Yangon,Member,Female,Home and lifestyle,99.36,7,34.776,730.296,02/18/2019,16:05,Credit card,695.52,4.761905,34.776,6.7
405-69-9920,C,Naypyitaw,Normal,Male,Electronic accessories,99.36,7,34.776,730.296,01/29/2019,10:48,Ewallet,695.52,4.761905,34.776,7.2
